Part Number,Name,Category,In Stock,Min Required,On Order,Last Updated
KQ-001,Aircraft Engine Filter,Engine Parts,42,70,15,5/24/2025
KQ-002,Landing Gear Component,Landing System,67,15,10,5/24/2025
KQ-003,Cabin Air Filter,Environmental Control,56,60,0,5/24/2025
KQ-004,Fuel Pump,Fuel System,35,699,5,5/24/2025
KQ-005,Navigation Display Unit,Avionics,12,8,3,5/24/2025
KQ-006,Oxygen Mask,Safety Equipment,300,200,50,5/24/2025
KQ-007,Hydraulic Actuator,Hydraulic System,400,12,6,5/24/2025
KQ-008,Windshield Panel,Airframe,10,4,2,5/24/2025
KQ-009,Anti-ice System Valve,De-icing System,17,10,5,5/24/2025
KQ-010,Tire Assembly,Landing System,2300,39,8,5/24/2025
